,Cert_ID,Class_Type,Effective_Date,Change_Type
330,35599,Commercial,2001-10-01,NewInstitutions
331,57187,Commercial,2001-10-04,NewInstitutions
332,57219,Commercial,2001-10-09,NewInstitutions
333,57255,Commercial,2001-10-18,NewInstitutions
334,57250,Commercial,2001-10-26,NewInstitutions
335,57071,Commercial,2001-11-01,NewInstitutions
336,57211,Commercial,2001-11-05,NewInstitutions
337,57314,Commercial,2001-11-05,NewInstitutions
338,57228,Commercial,2001-11-06,NewInstitutions
339,57189,Savings,2001-11-12,NewInstitutions
340,57151,Commercial,2001-11-14,NewInstitutions
341,57246,Commercial,2001-11-15,NewInstitutions
342,57148,Commercial,2001-11-16,NewInstitutions
343,57230,Commercial,2001-11-19,NewInstitutions
344,57201,Commercial,2001-11-19,NewInstitutions
345,35114,Commercial,2001-11-20,NewInstitutions
346,57249,Commercial,2001-11-26,NewInstitutions
347,57231,Commercial,2001-11-26,NewInstitutions
348,57302,Commercial,2001-11-27,NewInstitutions
349,57254,Commercial,2001-11-29,NewInstitutions
350,57282,Savings,2001-12-01,NewInstitutions
351,57281,Commercial,2001-12-01,NewInstitutions
352,57240,Commercial,2001-12-03,NewInstitutions
353,57178,Commercial,2001-12-05,NewInstitutions
354,57265,Savings,2001-12-10,NewInstitutions
355,57213,Commercial,2001-12-10,NewInstitutions
356,57301,Commercial,2001-12-10,NewInstitutions
357,57303,Commercial,2001-12-17,NewInstitutions
358,57120,Commercial,2001-12-17,NewInstitutions
359,57096,Commercial,2001-12-17,NewInstitutions
360,57271,Commercial,2001-12-17,NewInstitutions
361,57044,Commercial,2001-12-18,NewInstitutions
362,57262,Savings,2001-12-21,NewInstitutions
363,57280,Commercial,2001-12-22,NewInstitutions
364,57110,Commercial,2001-12-27,NewInstitutions
365,57335,Commercial,2001-12-28,NewInstitutions
366,57181,Commercial,2001-12-28,NewInstitutions
367,57164,Commercial,2001-12-28,NewInstitutions
368,57225,Commercial,2002-01-10,NewInstitutions
369,57289,Commercial,2002-01-11,NewInstitutions
370,57300,Commercial,2002-01-22,NewInstitutions
371,57252,Commercial,2002-01-23,NewInstitutions
372,57296,Commercial,2002-01-28,NewInstitutions
373,57017,Commercial,2002-01-28,NewInstitutions
374,57239,Commercial,2002-02-05,NewInstitutions
375,57276,Commercial,2002-02-11,NewInstitutions
376,57242,Commercial,2002-02-14,NewInstitutions
377,57215,Commercial,2002-02-19,NewInstitutions
378,57274,Commercial,2002-03-01,NewInstitutions
379,57263,Commercial,2002-03-01,NewInstitutions
380,57260,Commercial,2002-03-01,NewInstitutions
381,57305,Savings,2002-03-05,NewInstitutions
382,57167,Commercial,2002-03-18,NewInstitutions
383,57261,Commercial,2002-03-25,NewInstitutions
384,57123,Commercial,2002-03-25,NewInstitutions
385,57372,Commercial,2002-04-01,NewInstitutions
386,57269,Commercial,2002-04-02,NewInstitutions
387,57132,Commercial,2002-04-03,NewInstitutions
388,57364,Commercial,2002-04-15,NewInstitutions
389,57312,Commercial,2002-04-15,NewInstitutions
390,57311,Commercial,2002-04-16,NewInstitutions
391,57236,Commercial,2002-04-18,NewInstitutions
392,57339,Commercial,2002-04-19,NewInstitutions
393,57368,Commercial,2002-04-22,NewInstitutions
394,57348,Commercial,2002-04-29,NewInstitutions
395,57336,Commercial,2002-05-01,NewInstitutions
396,57134,Commercial,2002-05-08,NewInstitutions
397,57285,Commercial,2002-05-13,NewInstitutions
398,57358,Commercial,2002-05-16,NewInstitutions
399,57105,Commercial,2002-05-20,NewInstitutions
400,57192,Commercial,2002-05-20,NewInstitutions
401,57186,Commercial,2002-05-24,NewInstitutions
402,57378,Commercial,2002-06-03,NewInstitutions
403,57293,Commercial,2002-06-03,NewInstitutions
404,57315,Commercial,2002-06-04,NewInstitutions
405,57232,Commercial,2002-06-14,NewInstitutions
406,57413,Commercial,2002-06-15,NewInstitutions
407,57031,Commercial,2002-06-17,NewInstitutions
408,57345,Commercial,2002-06-17,NewInstitutions
409,57214,Commercial,2002-06-21,NewInstitutions
410,57391,Commercial,2002-06-21,NewInstitutions
411,57332,Commercial,2002-07-01,NewInstitutions
412,57350,Commercial,2002-07-01,NewInstitutions
413,57373,Commercial,2002-07-08,NewInstitutions
414,57355,Commercial,2002-07-15,NewInstitutions
415,57360,Commercial,2002-07-16,NewInstitutions
416,57256,Commercial,2002-07-22,NewInstitutions
417,57396,Commercial,2002-07-22,NewInstitutions
418,57362,Commercial,2002-07-23,NewInstitutions
419,57191,Commercial,2002-07-29,NewInstitutions
420,57036,Commercial,2002-08-05,NewInstitutions
421,57279,Commercial,2002-08-05,NewInstitutions
422,57356,Commercial,2002-08-05,NewInstitutions
423,57363,Commercial,2002-08-08,NewInstitutions
424,57055,Commercial,2002-08-19,NewInstitutions
425,57273,Commercial,2002-08-21,NewInstitutions
426,57324,Commercial,2002-08-26,NewInstitutions
427,57264,Commercial,2002-09-03,NewInstitutions
428,57395,Commercial,2002-09-05,NewInstitutions
429,57431,Commercial,2002-09-10,NewInstitutions
430,57420,Commercial,2002-09-16,NewInstitutions
431,57259,Commercial,2002-09-16,NewInstitutions
432,57342,Commercial,2002-09-18,NewInstitutions
433,57357,Commercial,2002-09-27,NewInstitutions
434,57331,Commercial,2002-10-01,NewInstitutions
435,57415,Commercial,2002-10-01,NewInstitutions
436,57416,Commercial,2002-10-09,NewInstitutions
437,57065,Commercial,2002-10-10,NewInstitutions
438,57145,Commercial,2002-10-15,NewInstitutions
439,57359,Commercial,2002-10-17,NewInstitutions
440,57497,Commercial,2002-10-25,NewInstitutions
441,57369,Commercial,2002-10-28,NewInstitutions
442,57377,Commercial,2002-10-28,NewInstitutions
443,57275,Commercial,2002-10-29,NewInstitutions
444,57453,Commercial,2002-11-01,NewInstitutions
445,57442,Commercial,2002-11-04,NewInstitutions
446,57443,Savings,2002-11-05,NewInstitutions
447,57399,Commercial,2002-11-05,NewInstitutions
448,57474,Commercial,2002-11-15,NewInstitutions
449,57475,Commercial,2002-11-18,NewInstitutions
450,57414,Commercial,2002-11-21,NewInstitutions
451,57309,Commercial,2002-11-25,NewInstitutions
452,57465,Commercial,2002-12-02,NewInstitutions
453,57411,Commercial,2002-12-09,NewInstitutions
454,57277,Savings,2002-12-09,NewInstitutions
455,57477,Commercial,2002-12-12,NewInstitutions
456,57437,Commercial,2002-12-12,NewInstitutions
457,57484,Commercial,2002-12-16,NewInstitutions
458,57499,Commercial,2002-12-16,NewInstitutions
459,57491,Commercial,2002-12-16,NewInstitutions
460,57338,Commercial,2002-12-26,NewInstitutions
461,57401,Commercial,2002-12-27,NewInstitutions
462,57468,Commercial,2003-01-13,NewInstitutions
463,57386,Commercial,2003-01-13,NewInstitutions
464,57469,Commercial,2003-01-21,NewInstitutions
465,57425,Commercial,2003-01-21,NewInstitutions
466,57434,Savings,2003-01-21,NewInstitutions
467,57487,Commercial,2003-01-27,NewInstitutions
468,57366,Savings,2003-01-27,NewInstitutions
469,57352,Commercial,2003-01-27,NewInstitutions
470,57508,Commercial,2003-02-03,NewInstitutions
471,57512,Commercial,2003-02-03,NewInstitutions
472,57511,Commercial,2003-02-03,NewInstitutions
473,57498,Commercial,2003-02-03,NewInstitutions
474,57429,Commercial,2003-02-03,NewInstitutions
475,57522,Commercial,2003-02-03,NewInstitutions
476,57456,Commercial,2003-02-11,NewInstitutions
