,Cert_ID,Class_Type,Effective_Date,Change_Type
1508,16648,Commercial,2006-09-15,Combinations
1509,27206,Commercial,2006-09-15,Combinations
1510,34616,Commercial,2006-09-15,Combinations
1511,9243,Commercial,2006-09-16,Combinations
1512,34680,Commercial,2006-09-22,Combinations
1513,22301,Commercial,2006-09-23,Combinations
1514,3000,Commercial,2006-09-23,Combinations
1515,33437,Commercial,2006-09-28,Combinations
1516,33199,Savings,2006-09-29,Combinations
1517,34636,Commercial,2006-09-29,Combinations
1518,1685,Commercial,2006-09-29,Combinations
1519,22226,Commercial,2006-09-30,Combinations
1520,4417,Commercial,2006-09-30,Combinations
1521,11341,Commercial,2006-09-30,Combinations
1522,29630,Commercial,2006-09-30,Combinations
1523,33949,Commercial,2006-09-30,Combinations
1524,4386,Commercial,2006-09-30,Combinations
1525,57443,Commercial,2006-10-01,Combinations
1526,32623,Commercial,2006-10-01,Combinations
1527,24029,Commercial,2006-10-01,Combinations
1528,1041,Commercial,2006-10-01,Combinations
1529,522,Commercial,2006-10-01,Combinations
1530,21290,Commercial,2006-10-01,Combinations
1531,28251,Commercial,2006-10-01,Combinations
1532,26170,Commercial,2006-10-01,Combinations
1533,27666,Savings,2006-10-01,Combinations
1534,32316,Savings,2006-10-01,Combinations
1535,34660,Commercial,2006-10-01,Combinations
1536,34183,Commercial,2006-10-01,Combinations
1537,9160,Commercial,2006-10-01,Combinations
1538,26211,Commercial,2006-10-01,Combinations
1539,16100,Commercial,2006-10-01,Combinations
1540,8174,Commercial,2006-10-03,Combinations
1541,18259,Commercial,2006-10-06,Combinations
1542,15978,Commercial,2006-10-06,Combinations
1543,35446,Commercial,2006-10-07,Combinations
1544,4606,Commercial,2006-10-12,Combinations
1545,15096,Commercial,2006-10-13,Combinations
1546,23273,Commercial,2006-10-13,Combinations
1547,34762,Commercial,2006-10-14,Combinations
1548,18037,Savings,2006-10-18,Combinations
1549,27034,Commercial,2006-10-18,Combinations
1550,10436,Commercial,2006-10-20,Combinations
1551,29386,Commercial,2006-10-20,Combinations
1552,27595,Commercial,2006-10-20,Combinations
1553,21377,Commercial,2006-10-20,Combinations
1554,8124,Commercial,2006-10-21,Combinations
1555,24458,Commercial,2006-10-23,Combinations
1556,24743,Commercial,2006-10-23,Combinations
1557,26426,Commercial,2006-10-26,Combinations
1558,23743,Commercial,2006-10-26,Combinations
1559,35363,Commercial,2006-10-27,Combinations
1560,8483,Commercial,2006-10-28,Combinations
1561,16712,Commercial,2006-11-01,Combinations
1562,18498,Commercial,2006-11-02,Combinations
1563,24094,Commercial,2006-11-03,Combinations
1564,32614,Commercial,2006-11-03,Combinations
1565,57178,Commercial,2006-11-03,Combinations
1566,34013,Savings,2006-11-03,Combinations
1567,11696,Commercial,2006-11-04,Combinations
1568,26800,Commercial,2006-11-04,Combinations
1569,35550,Commercial,2006-11-06,Combinations
1570,57,Savings,2006-11-07,Combinations
1571,28339,Savings,2006-11-10,Combinations
1572,34192,Commercial,2006-11-11,Combinations
1573,21498,Commercial,2006-11-11,Combinations
1574,12599,Commercial,2006-11-11,Combinations
1575,10303,Commercial,2006-11-11,Combinations
1576,10881,Commercial,2006-11-13,Combinations
1577,57352,Commercial,2006-11-14,Combinations
1578,3875,Commercial,2006-11-15,Combinations
1579,34996,Commercial,2006-11-17,Combinations
1580,26966,Commercial,2006-11-20,Combinations
1581,18407,Commercial,2006-11-20,Combinations
1582,57146,Commercial,2006-11-30,Combinations
1583,5855,Commercial,2006-11-30,Combinations
1584,28351,Commercial,2006-11-30,Combinations
1585,58059,Commercial,2006-11-30,Combinations
1586,33481,Commercial,2006-12-01,Combinations
1587,34178,Commercial,2006-12-01,Combinations
1588,34855,Commercial,2006-12-01,Combinations
1589,12922,Commercial,2006-12-01,Combinations
1590,12751,Commercial,2006-12-01,Combinations
1591,57499,Commercial,2006-12-01,Combinations
1592,7005,Commercial,2006-12-01,Combinations
1593,35086,Commercial,2006-12-02,Combinations
1594,5122,Commercial,2006-12-03,Combinations
1595,15134,Commercial,2006-12-04,Combinations
1596,4046,Commercial,2006-12-07,Combinations
1597,1592,Commercial,2006-12-07,Combinations
1598,57616,Commercial,2006-12-08,Combinations
1599,11293,Commercial,2006-12-08,Combinations
1600,21881,Commercial,2006-12-08,Combinations
1601,30281,Commercial,2006-12-09,Combinations
1602,18712,Commercial,2006-12-09,Combinations
1603,33581,Commercial,2006-12-09,Combinations
1604,186,Commercial,2006-12-09,Combinations
1605,34235,Commercial,2006-12-15,Combinations
1606,5065,Commercial,2006-12-15,Combinations
1607,26854,Commercial,2006-12-18,Combinations
1608,34149,Commercial,2006-12-18,Combinations
1609,21158,Commercial,2006-12-19,Combinations
1610,15040,Commercial,2006-12-20,Combinations
1611,12461,Commercial,2006-12-28,Combinations
1612,33073,Commercial,2006-12-28,Combinations
1613,27199,Commercial,2006-12-29,Combinations
1614,18434,Commercial,2006-12-29,Combinations
1615,34645,Commercial,2006-12-30,Combinations
1616,5119,Commercial,2006-12-30,Combinations
1617,35051,Commercial,2006-12-30,Combinations
1618,34288,Commercial,2006-12-30,Combinations
1619,34199,Commercial,2006-12-30,Combinations
1620,34201,Commercial,2006-12-30,Combinations
1621,22359,Commercial,2006-12-30,Combinations
1622,34198,Commercial,2006-12-30,Combinations
1623,21853,Commercial,2006-12-30,Combinations
1624,26425,Commercial,2006-12-30,Combinations
1625,34200,Commercial,2006-12-30,Combinations
1626,24123,Commercial,2006-12-30,Combinations
1627,22371,Commercial,2006-12-30,Combinations
1628,9334,Commercial,2006-12-30,Combinations
1629,3222,Commercial,2006-12-31,Combinations
1630,35437,Commercial,2006-12-31,Combinations
1631,4060,Commercial,2006-12-31,Combinations
1632,22584,Commercial,2006-12-31,Combinations
1633,21098,Commercial,2006-12-31,Combinations
1634,3291,Commercial,2007-01-01,Combinations
1635,49256,Savings,2007-01-01,Combinations
1636,4110,Commercial,2007-01-01,Combinations
1637,28018,Commercial,2007-01-01,Combinations
1638,20038,Commercial,2007-01-01,Combinations
1639,35433,Commercial,2007-01-01,Combinations
1640,15674,Commercial,2007-01-01,Combinations
1641,18532,Savings,2007-01-02,Combinations
1642,26268,Commercial,2007-01-03,Combinations
1643,20367,Commercial,2007-01-04,Combinations
1644,35588,Commercial,2007-01-05,Combinations
1645,4633,Commercial,2007-01-05,Combinations
1646,8327,Commercial,2007-01-12,Combinations
1647,10066,Commercial,2007-01-12,Combinations
1648,35516,Commercial,2007-01-12,Combinations
1649,35188,Commercial,2007-01-13,Combinations
1650,23182,Commercial,2007-01-18,Combinations
1651,32940,Savings,2007-01-19,Combinations
1652,34096,Commercial,2007-01-20,Combinations
1653,32404,Savings,2007-01-20,Combinations
1654,33965,Commercial,2007-01-22,Combinations
1655,57349,Savings,2007-01-26,Combinations
1656,8311,Commercial,2007-01-27,Combinations
1657,26682,Commercial,2007-01-27,Combinations
1658,19964,Commercial,2007-01-27,Combinations
1659,17766,Commercial,2007-01-29,Combinations
1660,10346,Commercial,2007-01-31,Combinations
1661,23803,Commercial,2007-01-31,Combinations
1662,3208,Commercial,2007-01-31,Combinations
1663,24030,Commercial,2007-01-31,Combinations
1664,34580,Commercial,2007-01-31,Combinations
1665,34027,Commercial,2007-02-01,Combinations
1666,922,Commercial,2007-02-01,Combinations
1667,3634,Commercial,2007-02-01,Combinations
1668,34324,Commercial,2007-02-02,Combinations
1669,1587,Commercial,2007-02-05,Combinations
1670,34970,Commercial,2007-02-06,Combinations
1671,5370,Commercial,2007-02-07,Combinations
1672,15486,Commercial,2007-02-09,Combinations
1673,34224,Commercial,2007-02-09,Combinations
1674,32725,Commercial,2007-02-10,Combinations
1675,4127,Commercial,2007-02-12,Combinations
1676,57536,Commercial,2007-02-12,Combinations
1677,29702,Savings,2007-02-13,Combinations
1678,27184,Savings,2007-02-15,Combinations
1679,34807,Commercial,2007-02-16,Combinations
1680,14725,Commercial,2007-02-17,Combinations
1681,15007,Commercial,2007-02-17,Combinations
1682,27281,Commercial,2007-02-17,Combinations
1683,15275,Commercial,2007-02-17,Combinations
1684,4609,Commercial,2007-02-20,Combinations
1685,1932,Commercial,2007-02-21,Combinations
1686,26449,Savings,2007-02-23,Combinations
1687,25911,Commercial,2007-02-28,Combinations
1688,57023,Commercial,2007-03-01,Combinations
1689,90579,Commercial,2007-03-01,Combinations
1690,18558,Commercial,2007-03-01,Combinations
1691,34389,Commercial,2007-03-01,Combinations
1692,35234,Commercial,2007-03-03,Combinations
1693,13304,Commercial,2007-03-09,Combinations
1694,17278,Commercial,2007-03-16,Combinations
1695,1217,Commercial,2007-03-16,Combinations
1696,10701,Commercial,2007-03-16,Combinations
1697,1952,Commercial,2007-03-16,Combinations
1698,29307,Commercial,2007-03-17,Combinations
1699,31572,Commercial,2007-03-17,Combinations
1700,34544,Commercial,2007-03-24,Combinations
1701,2066,Commercial,2007-03-24,Combinations
1702,34080,Commercial,2007-03-30,Combinations
1703,27232,Savings,2007-03-30,Combinations
1704,57661,Commercial,2007-03-30,Combinations
1705,21152,Commercial,2007-03-30,Combinations
1706,34417,Commercial,2007-03-30,Combinations
1707,25062,Commercial,2007-03-30,Combinations
1708,33956,Commercial,2007-03-31,Combinations
1709,34649,Commercial,2007-03-31,Combinations
1710,34795,Commercial,2007-04-01,Combinations
1711,19975,Savings,2007-04-01,Combinations
1712,1124,Commercial,2007-04-01,Combinations
1713,13285,Commercial,2007-04-01,Combinations
1714,34757,Commercial,2007-04-01,Combinations
1715,19668,Commercial,2007-04-01,Combinations
1716,18927,Commercial,2007-04-01,Combinations
1717,21987,Commercial,2007-04-01,Combinations
1718,4371,Commercial,2007-04-01,Combinations
1719,15620,Commercial,2007-04-01,Combinations
1720,7334,Commercial,2007-04-02,Combinations
1721,24575,Commercial,2007-04-02,Combinations
1722,30179,Savings,2007-04-02,Combinations
1723,11245,Commercial,2007-04-09,Combinations
1724,33551,Commercial,2007-04-10,Combinations
1725,30614,Commercial,2007-04-14,Combinations
1726,14842,Commercial,2007-04-16,Combinations
1727,9716,Commercial,2007-04-16,Combinations
1728,17562,Savings,2007-04-23,Combinations
1729,34801,Commercial,2007-04-24,Combinations
1730,24701,Commercial,2007-04-24,Combinations
1731,25853,Commercial,2007-04-27,Combinations
1732,20001,Commercial,2007-04-28,Combinations
1733,27437,Savings,2007-05-01,Combinations
1734,11871,Commercial,2007-05-01,Combinations
1735,13244,Commercial,2007-05-01,Combinations
1736,18396,Commercial,2007-05-01,Combinations
1737,34077,Commercial,2007-05-01,Combinations
